,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Days,Start_time,End_time,Start_date,End_date,Building,Room
0,0,0,0,0,0,0,0,0,0,Tuesday,12.3,14:00:00,08/22/2023,12/05/2023,Minor Hall,125
1,1,1,1,1,1,1,1,1,1,Thursday,12.3,14:00:00,08/22/2023,12/05/2023,Minor Hall,125
2,2,2,2,2,2,2,2,2,2,Wednesday,15.0,16:00:00,08/22/2023,12/05/2023,New Cabell Hall,207
3,3,3,3,3,3,3,3,3,3,Wednesday,17.0,18:00:00,08/22/2023,12/05/2023,Wilson Hall,214
4,4,4,4,4,4,4,4,4,4,Tuesday,19.0,20:00:00,08/22/2023,12/05/2023,New Cabell Hall,411
5,5,5,5,5,5,5,5,5,5,Tuesday,20.0,21:00:00,08/22/2023,12/05/2023,New Cabell Hall,411
6,6,6,6,6,6,6,6,6,6,Wednesday,18.0,19:00:00,08/22/2023,12/05/2023,New Cabell Hall,283
7,7,7,7,7,7,7,7,7,7,Wednesday,19.0,20:00:00,08/22/2023,12/05/2023,New Cabell Hall,283
8,8,8,8,8,8,8,8,8,8,Tuesday,18.0,19:00:00,08/22/2023,12/05/2023,New Cabell Hall,115
9,9,9,9,9,9,9,9,9,9,Tuesday,17.0,18:00:00,08/22/2023,12/05/2023,New Cabell Hall,268
10,10,10,10,10,10,10,10,10,10,Wednesday,16.0,17:00:00,08/22/2023,12/05/2023,New Cabell Hall,207
11,11,11,11,11,11,11,11,11,11,Tuesday,14.0,17:00:00,08/22/2023,12/05/2023,New Cabell Hall,111
12,12,12,12,12,12,12,12,12,12,Wednesday,14.0,17:00:00,08/22/2023,12/05/2023,New Cabell Hall,107
13,13,13,13,13,13,13,13,13,13,Tuesday,11.0,12:30:00,08/22/2023,12/05/2023,Gibson Hall,241
14,14,14,14,14,14,14,14,14,14,Thursday,11.0,12:30:00,08/22/2023,12/05/2023,Gibson Hall,241
15,15,15,15,15,15,15,15,15,15,Monday,13.0,14:00:00,08/22/2023,12/05/2023,Wilson Hall,238
16,16,16,16,16,16,16,16,16,16,Wednesday,13.0,14:00:00,08/22/2023,12/05/2023,Wilson Hall,238
17,17,17,17,17,17,17,17,17,17,Friday,13.0,14:00:00,08/22/2023,12/05/2023,Wilson Hall,238
18,18,18,18,18,18,18,18,18,18,Tuesday,12.3,14:00:00,08/22/2023,12/05/2023,Monroe Hall,113
19,19,19,19,19,19,19,19,19,19,Thursday,12.3,14:00:00,08/22/2023,12/05/2023,Monroe Hall,113
20,20,20,20,20,20,20,20,20,20,Tuesday,12.3,14:00:00,08/22/2023,12/05/2023,Shannon House,119
21,21,21,21,21,21,21,21,21,21,Thursday,12.3,14:00:00,08/22/2023,12/05/2023,Shannon House,119
22,22,22,22,22,22,22,22,22,22,Tuesday,14.0,15:30:00,08/22/2023,12/05/2023,Shannon House,119
23,23,23,23,23,23,23,23,23,23,Thursday,14.0,15:30:00,08/22/2023,12/05/2023,Shannon House,119
24,24,24,24,24,24,24,24,24,24,Tuesday,9.3,11:00:00,08/22/2023,12/05/2023,New Cabell Hall,407
25,25,25,25,25,25,25,25,25,25,Thursday,9.3,11:00:00,08/22/2023,12/05/2023,New Cabell Hall,407
26,26,26,26,26,26,26,26,26,26,Monday,15.3,18:30:00,08/22/2023,12/05/2023,Ridley Hall,125
27,27,27,27,27,27,27,27,27,27,Tuesday,18.0,21:00:00,08/22/2023,12/05/2023,New Cabell Hall,309
28,28,28,28,28,28,28,28,28,28,Tuesday,12.3,14:00:00,08/22/2023,12/05/2023,Wilson Hall,238
29,29,29,29,29,29,29,29,29,29,Thursday,12.3,14:00:00,08/22/2023,12/05/2023,Wilson Hall,238
30,30,30,30,30,30,30,30,30,30,Thursday,14.0,17:00:00,08/22/2023,12/05/2023,John W. Warner Hall,113
31,31,31,31,31,31,31,31,31,31,Tuesday,9.3,11:00:00,08/22/2023,12/05/2023,New Cabell Hall,332
32,32,32,32,32,32,32,32,32,32,Thursday,9.3,11:00:00,08/22/2023,12/05/2023,New Cabell Hall,332
33,33,33,33,33,33,33,33,33,33,Tuesday,14.0,15:30:00,08/22/2023,12/05/2023,New Cabell Hall,044
34,34,34,34,34,34,34,34,34,34,Thursday,14.0,15:30:00,08/22/2023,12/05/2023,New Cabell Hall,044
35,35,35,35,35,35,35,35,35,35,Monday,9.0,10:00:00,08/22/2023,12/05/2023,Wilson Hall,301
36,36,36,36,36,36,36,36,36,36,Wednesday,9.0,10:00:00,08/22/2023,12/05/2023,Wilson Hall,301
37,37,37,37,37,37,37,37,37,37,Wednesday,16.0,17:00:00,08/22/2023,12/05/2023,New Cabell Hall,209
38,38,38,38,38,38,38,38,38,38,Wednesday,17.0,18:00:00,08/22/2023,12/05/2023,New Cabell Hall,209
39,39,39,39,39,39,39,39,39,39,Wednesday,18.0,19:00:00,08/22/2023,12/05/2023,New Cabell Hall,191
40,40,40,40,40,40,40,40,40,40,Thursday,19.0,20:00:00,08/22/2023,12/05/2023,New Cabell Hall,207
41,41,41,41,41,41,41,41,41,41,Thursday,17.0,18:00:00,08/22/2023,12/05/2023,New Cabell Hall,115
42,42,42,42,42,42,42,42,42,42,Thursday,18.0,19:00:00,08/22/2023,12/05/2023,New Cabell Hall,287
43,43,43,43,43,43,43,43,43,43,Wednesday,15.3,18:30:00,08/22/2023,12/05/2023,John W. Warner Hall,113
44,44,44,44,44,44,44,44,44,44,Monday,15.3,18:30:00,08/22/2023,12/05/2023,John W. Warner Hall,110
45,45,45,45,45,45,45,45,45,45,Tuesday,13.0,14:00:00,08/22/2023,12/05/2023,John W. Warner Hall,115
46,46,46,46,46,46,46,46,46,46,Wednesday,13.0,14:00:00,08/22/2023,12/05/2023,Shannon House,107
47,47,47,47,47,47,47,47,47,47,Tuesday,14.0,15:00:00,08/22/2023,12/05/2023,John W. Warner Hall,110
48,48,48,48,48,48,48,48,48,48,Wednesday,14.0,15:00:00,08/22/2023,12/05/2023,Dell,001
49,49,49,49,49,49,49,49,49,49,Tuesday,14.0,15:30:00,08/22/2023,12/05/2023,Shannon House,107
50,50,50,50,50,50,50,50,50,50,Monday,14.2,17:00:00,08/22/2023,12/05/2023,Shannon House,107
51,51,51,51,51,51,51,51,51,51,Tuesday,12.3,15:30:00,08/22/2023,12/05/2023,Astronomy,139
52,52,52,52,52,52,52,52,52,52,Wednesday,14.0,17:00:00,08/22/2023,12/05/2023,Astronomy,139
53,53,53,53,53,53,53,53,53,53,Friday,9.15,12:00:00,08/22/2023,12/05/2023,Campbell Hall,108
54,54,54,54,54,54,54,54,54,54,Wednesday,13.0,15:30:00,08/22/2023,12/05/2023,Campbell Hall,325
55,55,55,55,55,55,55,55,55,55,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
56,56,56,56,56,56,56,56,56,56,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
57,57,57,57,57,57,57,57,57,57,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
58,58,58,58,58,58,58,58,58,58,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
59,59,59,59,59,59,59,59,59,59,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
60,60,60,60,60,60,60,60,60,60,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
61,61,61,61,61,61,61,61,61,61,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,405
62,62,62,62,62,62,62,62,62,62,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,405
63,63,63,63,63,63,63,63,63,63,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
64,64,64,64,64,64,64,64,64,64,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
65,65,65,65,65,65,65,65,65,65,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
66,66,66,66,66,66,66,66,66,66,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
67,67,67,67,67,67,67,67,67,67,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
68,68,68,68,68,68,68,68,68,68,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
69,69,69,69,69,69,69,69,69,69,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,205
70,70,70,70,70,70,70,70,70,70,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,205
71,71,71,71,71,71,71,71,71,71,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
72,72,72,72,72,72,72,72,72,72,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
73,73,73,73,73,73,73,73,73,73,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,305
74,74,74,74,74,74,74,74,74,74,Thursday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,305
75,75,75,75,75,75,75,75,75,75,Tuesday,12.3,17:30:00,08/22/2023,12/05/2023,Campbell Hall,401
